ファイアエンブレム	Fire Emblem
弓・魔法以外に弱点はない　竜騎士\r\n装備『槍』	High-flying knights vulnerable only to\r\nbows and magic. Equip: Lances.
攻撃・防御力が高いが　魔防に劣る\r\n装備『槍・斧』　奥義『衝撃』	Wyvern-mounted knights of superior\r\nskill. Equip: Lances, axes.
戦場を駆け　敵を圧倒する\r\n装備『槍』　スキル『疾風迅雷』	Powerful pegasi who trample over\r\ntheir foes. Equip: Lances.
力は弱いが　安定した能力を持つ\r\n装備『理』	Magic wielders with solid skills but low\r\nphysical strength. Equip: Anima.
魔法に精通し安定した力を発揮する\r\n装備『理・光・杖』　奥義『陽光』	Advanced scholars of magical codices.\r\nEquip: Anima, light, staves.
理と剣を扱う　華炎の奥義をもつ\r\n装備『理・剣』　スキル『待ち伏せ』	Knights trained in both anima and\r\nswords. Equip: Swords, anima.
魔道士に対し絶大な力を発揮する\r\n装備『光・杖』　スキル『魔道特効』	Seasoned priests with strong healing\r\nskills. Equip: Light, staves.
攻撃・守備力に優れるが移動力は低い\r\n装備『剣・槍』　スキル『月光』	Knights of great skill.\r\nEquip: Swords, lances.
攻撃・防御力が高いが　魔防に劣る\r\n装備『剣・槍』　奥義『太陽』	Wyvern-mounted knights of superior\r\nskill. Equip: Swords, lances.
竜の姿になり　強力なブレスで攻撃\r\n装備『竜石』	Mysterious tribesmen who can turn\r\ninto dragons. Equip: Dragonstone.
これからの成長が期待される戦士\r\n装備『斧』	Young fighters with high\r\nexpectations. Equip: Axes.
これからの成長が期待される魔道士\r\n装備『理』	Mages in training with lofty\r\naspirations. Equip: Anima.
神出鬼没で華やかな怪盗\r\n装備『剣・杖』　スキル『すり抜け』	Knaves who need no tools or keys to\r\nopen locks. Equip: Swords.
力は強いが守備は弱い『あらくれ』\r\n装備『斧』	Ruffians with great strength but\r\npoor defense. Equip: Axes.
圧倒的な攻撃力をほこる猛者\r\n装備『斧・弓』　奥義『鳴動』	Stalwart warriors whose power is\r\ntheir pride. Equip: Axes, bows.
力が強く山を得意とする『あらくれ』\r\n装備『斧』	Mighty mercenaries who thrive\r\nin mountains. Equip: Axes.
山や海に強く会心の一撃を放つ猛者\r\n装備『斧』　奥義『復讐』	Fighters at home both in mountains\r\nand at sea. Equip: Axes.
高い守備力と機動力を誇る騎士\r\n装備『剣・槍・斧』　奥義『月光』	Knights with great mobility and\r\ndefense. Equip: Swords, lances, axes.
攻撃は魔道士を超えるが　速さに劣る\r\n装備『闇』	Wielders of magic who are stronger,\r\nbut slower, than mages. Equip: Dark.
魔力が高く　高位の魔法をあやつる\r\n装備『闇・理・杖』　奥義『月食』	Wielders of deep and ancient magic.\r\nEquip: Dark, anima, staves.
高位闇魔法と亡霊戦士の召喚を行う\r\n装備『闇・理』　スキル『召喚』	Master sorcerers who summon fighters.\r\nEquip: Anima, dark.
光魔法をあやつり　魔防に優れる\r\n装備『光・杖』	Spiritual guides who use sacred staves\r\nto heal allies. Equip: Light, staves.
聖なる杖で味方を助ける男性\r\n装備『杖・光』	聖なる杖で味方を助ける男性\r\n装備『杖・光』
優しい音色で　仲間を助ける\r\n攻撃はできない	Musicians whose melodies aid\r\nallies. Unable to attack.
これからの成長が期待される騎士\r\n装備『槍』	Unproven knights with dreams\r\nof glory. Equip: Lances.
敵の魔法に強いが弓に弱い天の騎士\r\n装備『槍』	Airborne knights who resist magic but\r\nare weak against bows. Equip: Lances.
速さ・魔防にすぐれる　天の騎士\r\n装備『剣・槍・杖』　奥義『叫喚』	Swift sky warriors who shrug off magic\r\nattacks. Equip: Swords, lances, staves.
聖なる杖で味方を助ける女性\r\n装備『杖・光』	Holy women who use sacred staves to heal\r\ntheir allies. Equip: Light, staves.
馬上で杖を用いる乙女\r\n装備『杖』	Maidens who wield staves from\r\nhorseback. Equip: Staves.
馬上で杖と魔法を使う　戦乙女\r\n装備『理・杖』　スキル『聖盾』『聖杖』	Battle maidens who wield both staves\r\nand anima magic. Equip: Anima, staves.
美しい舞いで　仲間に再び動く元気を\r\n与える　攻撃はできない	Dancers whose dances revitalize\r\ntheir allies. They cannot attack.
ふつうの下級兵士\r\nとりたてて目立った能力はない	Standard infantry with high\r\ndurability. Equip: Lances.
力が強く海を得意とする『あらくれ』\r\n装備『斧』	Tough brawlers who call the\r\nsea their home. Equip: Axes.
【魔石】の強大な力を得て\r\n最高位の闇魔道と屍をあやつる	Master of the Dark Stone who uses\r\ndark magic to command corpses.
海上を移動する軍船\r\n広い射程を誇るシューターを持つ	Warships that patrol the open seas.\r\nThey carry powerful ballistae.
戦士と同じ能力を持つが\r\n攻撃を受けると消えてしまう	Phantom warriors who possess great strength\r\nbut vanish when attacked. Equip: Axes.
敵の防御を貫く　一撃を放つ\r\n装備『槍』　スキル『月光』	Wyvern riders who can pierce enemy\r\ndefenses. Equip: Lances.
人や物資を運ぶ馬車\r\n戦う力は　もっていない	人や物資を運ぶ馬車\r\n戦う力は　もっていない
弓を使い　移動力にすぐれる\r\n装備『弓』	Plainsmen with high speed and\r\nstrong movement. Equip: Bows.
全ての魔法を使いこなす　魔女\r\n装備『理・闇・光』　スキル『生命吸収』	Magicians with a mastery of all magics.\r\nEquip: Anima, light, dark.
巨大な毒グモ\r\n山地を自由に動き回り　爪に毒をもつ	Giant poisonous mountain spiders with\r\nvenom-filled fangs.
魔の力により　強大な力を得たバール\r\nその鋭い爪には　猛毒を備えている	Giant spiders infused with tremendous\r\nmagical strength. Their venom is lethal.
義賊の王たる資質を備えた者の称号\r\n装備『斧』　スキル『見切り』	Mountain theives who attack with\r\nrazor sharp axes. Equip: Axes.
血に飢えた　凶暴な魔獣\r\n鋭い牙で襲い掛かる	Blood-hungry demon dogs that attack\r\nwith keen-edged fangs.
三つの頭をもつ　飢えた魔獣\r\n鋭い三つの牙で襲い掛かる	Savage, three-headed hellhounds.\r\nTheir fangs are cruel death dealers.
移動力にすぐれる騎士\r\n装備『斧』	Mounted knights with swift\r\nmovement. Equip: Axes.
戦経験をつんだ遊牧民の称号\r\n装備『剣・弓』　スキル『連続』	An honorific bestowed upon nomads\r\nof great skill. Equip: Swords, bows.
高い守備力に様々な武器を使いこなす\r\n装備『剣・弓・杖・光』\r\nスキル『大盾』『聖盾』	Titans in heavy armor who wield many\r\nweapons. Equip: Sword, bow, staff, light.
槍を極めた上級騎士\r\n防御を許さぬ必殺の技を持つ\r\n装備『槍』　スキル『竜牙』	Powerful soldiers with highly trained\r\noffensive techniques. Equip: Lances.
高い守備力に様々な武器を使いこなす\r\n装備『槍・斧・理・闇』\r\nスキル『大盾』『聖盾』	Titans in heavy armor who wield many\r\nweapons. Equip: Lance, axe, anima, dark.
策を立て　自軍を優位に動かす者\r\n装備『剣』『理』『杖』	Strong leaders who command their allies\r\nto victory. Equip: Sword, anima, staff.
あらゆる武器を使いこなす騎士の頂\r\n装備『剣・槍・理・杖』\r\nスキル『大盾』『聖盾』	Knights who have trained in a variety of\r\nweapons. Equip: Sword, lance, staff, anima.
あらゆる武器を使いこなす騎士の頂\r\n装備『斧・弓・闇・光』\r\nスキル『大盾』『聖盾』	Knights who have trained in a variety of\r\nweapons. Equip: Axe, bow, light, dark.
死してよみがえったドラゴン\r\n腐敗のブレスは　万物を破滅に導く	The revived corpse of a dragon. Its\r\nputrid breath decays all it touches.
全ての魔物の頂点に立つ\r\nその能力は人知をはるかに超える	This foul being is the master of the\r\ndark. Its power exceeds mortal ken.
この地で暮らす　ふつうの人々\r\n戦う力はもっていない	An innocent peasant lacking any\r\ncombat skills at all.
全教会を統率する　最高位聖職者\r\n司祭ラトナを祖に持つ	Spiritual leader of Rausten. He claims\r\nancestry with the saintly Latona.
あらゆる任務を達成させてきた強者\r\nその存在はあらゆる戦場を覆す\r\n	Army commanders whose footsteps leave\r\ndeath in their wake. Equip: Axe, dark.
てつの剣	Iron Sword
ほそみの剣	Slim Sword
はがねの剣	Steel Sword
ぎんの剣	Silver Sword
てつの大剣	Iron Blade
はがねの大剣	Steel Blade
ぎんの大剣	Silver Blade
どくの剣	Poison Sword
レイピア	Rapier
勇者の剣	Brave Sword
シャムシール	Shamshir
キルソード	Killing Edge
アーマーキラー	Armorslayer
ドラゴンキラー	Wyrmslayer
ひかりの剣	Light Brand
ルーンソード	Runesword
ランスバスター	Lancereaver
斬馬刀	Zanbato
グラムブレイズ	Grannblaze
アウドムラ	Audhulma
かぜの剣	Wind Sword
てつの槍	Iron Lance
ほそみの槍	Slim Lance
はがねの槍	Steel Lance
ぎんの槍	Silver Lance
どくの槍	Toxin Lance
勇者の槍	Brave Lance
キラーランス	Killer Lance
ホースキラー	Horseslayer
手槍	Javelin
スレンドスピア	Spear
アクスバスター	Axereaver
ウィングスピア	Wing Spear
ジ・エターナル	Eternal
ヴィドフニル	Vidofnir
ドラゴンスピア	Dragonspear
つらぬきの槍	Heavy Lance
ショートスピア	Short Spear
てつの斧	Iron Axe
はがねの斧	Steel Axe
ぎんの斧	Silver Axe
どくの斧	Poison Axe
勇者の斧	Brave Axe
キラーアクス	Killer Axe
ハルベルト	Halberd
ハンマー	Hammer
デビルアクス	Devil Axe
手斧	Hand Axe
トマホーク	Tomahawk
ソードバスター	Swordreaver
ソードキラー	Swordslayer
ドラゴンアクス	Dragon Axe
バトルアクス	Battleaxe
ガルム	Garm
なげおの	Hatchet
てつの弓	Iron Bow
はがねの弓	Steel Bow
ぎんの弓	Silver Bow
どくの弓	Poison Bow
キラーボウ	Killer Bow
勇者の弓	Brave Bow
短弓	Short Bow
長弓	Longbow
ロングアーチ	Iron Ballista
アイアンアーチ	Long Ballista
キラーアーチ	Killer Ballista
ニーズヘッグ	Nighogg
腐敗のブレス	Wretched Air
竜石	Dragonstone
ブリザード	Blizzard
不浄の魔光	Demon Light
滅びの魔拳	Ravager
漆黒の悪夢	Nightmare
するどい爪	Deadly Claw
くさった爪	Rotten Claw
くさった長爪	Fetid Claw
どくの爪	Poison Claw
もうどくの爪	Lethal Claw
灼熱の牙	Fiery Fang
焦熱の牙	Hellfang
グレートソード	Greatsword
グレートランス	Greatlance
グレートアクス	Greataxe
グレートボウ	Greatbow
ファイアー	Fire
サンダー	Thunder
エルファイアー	Elfire
エイルカリバー	Elcalibur
(ｻﾝﾀﾞｰｽﾄｰﾑ)	Bolting
トロン	Thoron
エクスカリバー	Excalibur
ライトニング	Lightning
シャイン	Shine
ディヴァイン	Divine
パージ	Purge
オーラ	Aura
イーヴァルディ	Ivaldi
ミィル	Flux
ルイン	Ruin
リザイア	Nosferatu
イクリプス	Eclipse
ノスフェラート	Necro
グレイプニル	Gleipnir
ナグルファル	Nagalfar
ストーン	Stone
イービルアイ	Evil Eye
フレイムランス	Flame Lance
魔幻の波動	Demon Surge
暗黒の魔弾	Shadowshot
ライブ	Heal
リライブ	Mend
リカバー	Recover
リブロー	Physic
リザーブ	Fortify
レスト	Restore
サイレス	Silence
スリープ	Sleep
バサーク	Berserk
ワープ	Warp
レスキュー	Rescue
トーチ	Torch
ハマーン	Hammerne
アンロック	Unlock
Ｍシールド	Barrier
ラトナ	Latona
踊る	Dance
奏でる	Play
天使の衣	Angelic Robe
エナジーリング	Energy Ring
秘伝の書	Skill Book
はやての羽	Speedwing
女神のぞう	Goddess Icon
竜のたて	Dracoshield
魔よけ	Talisman
ブーツ	Boots
魔力のこな	Spirit Dust
英雄の証	Hero Crest
騎士の勲章	Knight Crest
オリオンの矢	Orion's Bolt
天空のムチ	Elysian Whip
導きの指輪	Guiding Ring
たからのかぎ	Chest Key
とびらのかぎ	Door Key
ばんのうかぎ	Lockpick
きずぐすり	Vulnerary
とっこうやく	Elixir
せいすい	Pure Water
どくけし	Antitoxin
たいまつ	Torch
フィーリの守護	Fili Shield
メンバーカード	Member Card
シルバーカード	Silver Card
金の宝玉	Gold Gem
黒の宝玉	Black Gem
白の宝玉	White Gem
青の宝玉	Blue Gem
赤の宝玉	Red Gem
ゴールド	Gold
ホプロンの守護	Iron Rune
マスタープルフ	Master Seal
メティスの書	Metis Tome
覇者の証	Ocean Seal
勇将Ｍ	勇将Ｍ
待ち伏せＭ	待ち伏せＭ
１Ｇ	1G
５Ｇ	5G
１０Ｇ	10G
５０Ｇ	50G
１００Ｇ	100G
１５０Ｇ	150G
２００Ｇ	200G
３０００Ｇ	3000G
５０００Ｇ	5000G
ジュナの実	Juna Fruit
ダミー	Dummy
毒がぬられた剣	Coated in lethal poison.
騎馬系・重歩兵系に有効	Effective against infantry.
２回続けて攻撃できる剣	Can strike consecutively.
必殺がでやすい砂漠の国の剣	Improves critical hit rate.
必殺がでやすい剣	Improves critical hit rate.
重歩兵系に有効な剣	Effective against knights.
竜系に有効な剣	Effective against wyverns.
間接攻撃も可能な光魔法の剣	Suffused with light magic.
間接攻撃も可能な闇魔法の剣	Imbued with dark magic.
槍に強く　斧に弱い剣	Strong against spears.
騎馬系に有効な剣	Effective against cavalry.
竜と契約した力を秘めると伝えられる魔剣\r\n	Magic. Effective against monsters.
双聖器『氷剣アウドムラ』魔防＋５	The Sacred Twin ice blade. Res +5.
間接攻撃も可能な理魔法の剣	Magic. Capable of indirect attacks.
毒がぬられた槍	Coated in lethal poison.
２回続けて攻撃できる槍	Can strike consecutively.
必殺がでやすい槍	Improves critical hit rate.
騎馬系に有効な槍	Effective against cavalry.
間接攻撃も可能な投げ槍	Doubles as ranged attack.
扱いやすく間接攻撃可能な投げ槍	Doubles as ranged attack.
斧に強く　剣に弱い槍	Strong against axes.
アロンダイト	Alondite
時間（とき）を操ると伝えられる魔剣\r\n	A blade able to control time.
双聖器『翼槍ヴィドフニル』守備＋５	The Sacred Twin winged lance. Def +5.
竜系に有効な槍	Effective against wyverns.
重歩兵系に有効な槍	Effective against knights.
間接攻撃も可能な投げ槍	Doubles as ranged attack.
魔法攻撃　バリスタに有効	Effective against ballisticians.
毒がぬられた斧	Coated in lethal poison.
２回続けて攻撃できる斧	Can strike consecutively.
必殺がでやすい斧	Improves critical hit rate.
騎馬系に有効な斧	Effective against cavalry.
重歩兵系に有効な斧	Effective against knights.
使い手に傷を負わせることも	Might injure its wielder.
間接攻撃も可能な投げ斧	Doubles as ranged attack.
扱いやすく間接攻撃可能な投げ斧	Doubles as ranged attack.
剣に強く　槍に弱い斧	Strong against swords.
剣歩兵系に有効　剣に強く槍に弱い	Good against swordfighters.
竜系に有効な斧	Effective against wyverns.
『神将器』　天雷の斧　守備＋５	A legendary axe. Defense +5.
扱いづらいが威力は大きな斧	Strong, but difficult to wield.
軽く命中しやすい斧	Doubles as ranged attack.
毒がぬられた弓	Coated in lethal poison.
必殺がでやすい弓	Improves critical hit rate.
２回攻撃　飛行系に有効	Can strike consecutively.
必殺がでやすい東方の弓	Improves critical hit rate.
３マス先の相手に攻撃できる弓	Extended attack range.
離れた敵にとどく発射台	Long-range weapon.
より離れた敵に届く発射台	Super long-range weapon.
必殺がでやすい発射台	Improves critical hit rate.
飛行系に有効	Effective against fliers.
必殺が高い	Long-range magic attack.
敵の魔防を無視	Negates enemy resistance.
ダメージ半分のＨＰ吸収	Drains enemy HP into caster.
毒を与える	Reduces enemy HP by half.
石化させ数ターン行動不能にします	Turns targets to stone for a while.
遠距離	Long-range dark magic bolt.
竜のウロコでつくられた盾\r\n守備＋２　使うと失われます	Increases defense by\r\n2 points. Vanishes after use.
敵の魔法を払うお守り\r\n魔防＋２　使うと失われます	Increases resistance by\r\n2 points. Vanishes after use.
魔法がかかったブーツ\r\n移動力＋１　使うと失われます	Increases movement by\r\n2 points. Vanishes after use.
戦う力を高める魔法の粉\r\n魔力＋２　使うと失われます	Increases magic by\r\n2 points. Vanishes after use.
１０レベル以上の　下位クラス\r\nユニットが使います	For some units Lv. 10 and up\r\nwho have not changed class.
奥義のＳランク条件を\r\n撤廃する	Removes a weapon rank at S.

回復Ｍ	回復Ｍ
味方を再行動させます	Allows allies\r\nto move again.
『移動力』が増えます	Raises movement.
『魔力』が増えます	Raises magic.
スキルを習得します	Teaches a new skill.
魔法攻撃で受ける\r\nダメージを減らします	Reduces damage\r\nfrom magic attacks.
毒を消し去り\r\n正常にします	Cures poison.
守備＋２\r\n一部クラスが所持すると\r\n効果がある盾	+2 Defense.\r\nOnly usable by military.
守備＋１\r\n全てのクラスで使える盾	+1 Defense.\r\nEasily used by anybody.
魔力	Mag
ほんとうに使いますか？	Are you sure?
戦	B
勝	W
敗	L
総合ターン	Total
総資産	Assets
タイム	Time
総合	Total
ノーマル	Normal
ハード	Hard
全	Complete
面	Total
キャラクターを	Character
選んでください	Choose
戦いの評価	Evaluation
軍師の評価	Evaluation
攻略占い	Capture
支援関係	Support
占いメニュー	Fortune
攻略評価	Capture
生存評価	Survival
資産評価	Assets
経験評価	EXP
戦闘評価	Combat
目的評価	Goals
マップを見る	View Map
並び替え	Formation
買取金額	Value
あずける	Give
うけとる	Take
在庫	Stock
あと	Pick
人えらべます	Units Left
不要なアイテムを買い取ります	Sell unwanted items.
それでよろしいですか？	Are you sure?
何をしますかね？	What'll you do?
あずかりますよ	I'll take it.
おわたししますね	Here you go!
何もありません	Nothing
所持者：	Owner:
達成率	Success
残り支援人数	Remaining
人	x
キャラクターを選んでください	Choose unit
『プロミネンス』\r\n自分の周囲５マス以内の敵へ炎を巻き上げる	Prominence\r\nPlaceholder.
奥義『ジェノサイド』（現在ＨＰ％）\r\n自身の能力を格段に上昇させ\r\nスキルを封じて、２ラウンド戦闘を行う	Genocide (HP%)\r\nIncreases all stats, negates all skills,\r\nand attacks twice consecutively.
『突撃』（現在ＨＰ％）\r\n自身が攻撃可能な時だけ\r\n２ラウンド戦闘を行う	Charge (HP%)\r\nInitiates another round of combat.
　『治癒』\r\n状態異常を治癒する	Boon\r\nHeals all status effects at\r\nthe start of every turn.
　『草なぎ』\r\n自分から攻撃したとき、追撃が絶対に\r\n出来ない代わりに相手の反撃を絶対に防ぐ\r\n	Moonlight\r\nInstead of performing a follow-up attack,\r\nnegates the opponent's counterattack.
武器屋・道具屋	Armory & Shop
アイテム整理	Item Management
『近接防御』\r\n敵攻撃時に直接攻撃を\r\n－６ダメージ	Short Shield\r\n-6 damage when attacked up close.
『コンゴウの一撃』\r\n自分から攻撃時に\r\n受けるダメージー１０	Armormed Blow\r\nDef +10 when attacking.
レベルアップ	Leveling Up
クラスチェンジ	Changing Classes
ノーブル	Noble Rapier
『神風招来』\r\n杖を使った場合、一度だけ\r\n確実に再行動ができる	Powerstaff\r\nTake another action after using\r\na staff (once per turn).
風の精霊セチの加護\r\n１ターン　味方の回避を上げます	A dance that increases an\r\nallies' avoid by 10 for a turn.
　『秘伝』\r\nスキル発動率を１０％上昇させる	Rightful King\r\n+10% to skill activation rate.
　『エリート』\r\n通常よりも多くの経験値を得る	Paragon\r\nEXP gain is doubled.
奥義『太陽』（技％）\r\n与ダメージの半分を回復する	Sol (Skill%)\r\nRestore HP equal to half\r\nof damage dealt.
奥義『月光』（技％）\r\n相手の守備を半減して攻撃	Luna (Skill%)\r\nHalve opponent's defense.
秘技『流星』（ＬＶ％）\r\n目にもとまらぬ連続攻撃	Astra (Lv%)\r\nAttack 5 times at half damage.
奥義『鳴動』（技％）\r\nダメージに自分の体格を加算する	Colossus (Skill%)\r\nAdd Con to damage.
奥義『復讐』（技％）\r\n減少したＨＰ半分をダメージに加算	Vengeance (Skill%)\r\nAdd half of lost HP to damage.
奥義『天空』（ＬＶ％）\r\n敵の守備を半減し　ダメージ半分回復	Aether (Lv%)\r\nPerform Luna and Sol consecutively.
奥義『瞬殺』（特殊％）\r\n通常の５倍のダメージを与える	Shootout (Random%)\r\nDeal quintuple damage.
　『怒り』\r\nＨＰが１ケタのとき必殺＋５０	Wrath\r\nCrit +50% when HP is at 1.
　『キャンセル』（技％）\r\n相手の反撃を封じる	Cancel\r\nNegates the opponent's counterattack.
　『待ち伏せ』\r\n敵ターンに先制攻撃	Ambush\r\nAlways attack first.
　『見切り』\r\n相手の戦闘スキルを無効化	Nihil\r\nIgnore opponent's combat skills.
　『祈り』（幸運％）\r\n致命攻撃をＨＰ１で耐える	Miracle (Luck%)\r\nSurvive a fatal blow with 1 HP.
　『再行動』（幸運％）\r\n行動終了後にもう一度行動ができる	Re-Move (Luck%)\r\nAct again after completing an action.
　『カリスマ』\r\n３マス以内の味方の命中回避＋１０％	Charm\r\nAllies within 3 spaces gain +10 hit.
　『恐怖』\r\n３マス以内の敵の回避必殺－１０	Intimidate\r\nEnemies within 3 tiles lose 10 avoid.
　『連続』（技％）\r\n２回連続攻撃	Adept (Skill%)\r\nInitiates another attack.
　『回復』\r\n毎ターン最大ＨＰの２０％分回復	Renewal\r\nRestore 20%HP at the\r\nstart of every turn.
　『疾風迅雷』\r\n攻撃後にも通常の再移動が可能	Galeforce\r\nAct again after defeating an\r\nenemy (once per turn).
奥義『陽光』（技％）\r\n敵の魔防を半減し　ダメージ半分回復	Flare (Skill%)\r\nHalve the foes's resistance and heal\r\nHP equal to half of damage dealt.
　『魔道特効』\r\n魔道士に対して常に特効	Magekiller\r\nDeal effective damage to magic users.
　『大盾』（ＬＶ％）\r\n相手の物理攻撃を半減する	Pavise (Lv%)\r\nReduces physical damage by half.
　『召喚』\r\n異形の者を召喚する	Summon\r\nSummons a phantom.
奥義『衝撃』（技％）\r\n相手をバサーク状態にする	Enrage (Skill%)\r\nMakes the opponent go berserk.
　『近接射撃』\r\n弓による直接攻撃が可能	Proximity Shot\r\nCan use bows at close range.
　『神射手』\r\n弓による攻撃の射程を伸ばす	Bowrange+\r\n+1 maximum attack range\r\nwhile using a bow.
　『必的』（技％）\r\n時々必ず攻撃が当たる	Sure Shot (Skill%)\r\nThe attack will not miss.
　『すり抜け』\r\n敵ユニットに通過を防がれない	Pass\r\nMove through enemy units.
　『神盾』\r\n被ダメージを常時半減	Divine Shield\r\nHalves all damage received.
　『かぎ開』\r\n扉や宝箱を開けられる	Locktouch\r\nOpen doors and chests without keys.
　『盗む』\r\n装備していないアイテムを奪える	Steal\r\nSteal unequipped items when\r\nspeed is higher than target's.
奥義『叫喚』（技％）\r\n相手を石化状態にする	Petrify (Skill%)\r\nTurns the opponent to stone.
『勇将』\r\nＨＰ半分以下でスキル発動率上昇	Hero\r\nWhen HP is less than half,\r\nskill activation rate +30%.
『強運』\r\n必殺の一撃を受けない	Blessing\r\nCannot be defeated by enemy attacks.
　『メンテナンス』\r\n『盗み』と『担ぎ』を無効にする	Watchful\r\nCannot be captured or stolen from.
『練達』\r\n自分への特効を無効にする	Nullify\r\nNegates effective damage.
　『聖盾』（技％）\r\n魔法による攻撃を無効化	Aegis (Skill%)\r\nNullify a magical attack.
奥義『華炎』（技％）\r\n魔力か力の半分を与ダメージに加える	Ignis (Skill%)\r\nAdd Str/2 when attacking magically.\r\nAdd Mag/2 when attacking physically.
『連撃防御』\r\n２撃目以降を半減	Bunker\r\nReduces follow-up damage received by half.
『虚無』\r\n取得する経験値が０になる	Void Curse\r\nUnit gives no experience\r\npoints upon being defeated.
奥義『竜牙』（技％）\r\n相手に与えるダメージに\r\n攻撃力の半分を追加	Rend Heaven (Skill%)\r\nAdds half of the opponent's\r\nstrength to your attack.
　『再移動』\r\n攻撃後に再移動が可能	Canto\r\nCan use remaining movement\r\nafter performing any action.
　『聖杖』\r\n杖の射程がリブローと同じになる	Staff Savant\r\nIncrease maximum staff range by 1.
　『守備隊形』\r\nこの戦闘では追撃が発生しない	Wary Fighter\r\nPrevents all follow-up attacks.
『必殺』\r\n必殺率が１５％上昇する	Crit+15\r\nGrants +15 to\r\ncritical hit rate.
『攻め立て』\r\n自分の追撃を連続で行う	Desperation\r\nFollow-up attacks will occur immediately.
『武器殺し』\r\n相手が特定の武器を装備している場合\r\n優位になれる補正が付く	Breaker\r\n+50 Hit/Avo against the\r\nspecified weapon.
奥義『撃破』（技％）\r\nダメージ２倍の攻撃	Impale (Skill%)\r\nDeals double damage. Deals quadruple\r\ndamage if it will defeat the opponent.
『生命吸収』\r\n自ら敵を撃破で最大ＨＰ半分回復	Lifetaker\r\nRestore 50%HP after attacking\r\nand defeating an enemy.
『鬼神の一撃』\r\n自ら攻めると与ダメージ＋５必殺＋１５	Death Blow\r\nDamage +5 when attacking.
『死線』\r\n与ダメージと被ダメージ＋１０	Life and Death\r\nDamage dealt and recieved +10.
『持ち替え』\r\n反撃時、その距離に見合った武器に\r\n持ち替えて戦闘を行う	Shift\r\nCan change weapons when attacked\r\nif unable to counterattack.
奥義『ジハード』\r\n攻撃力２倍　与ダメージ半分回復	Crusade (Lv%)\r\nWhen HP is half or less, deal double damage\r\nand restore HP equal to damage dealt.
『奥義の拍動』\r\n４ターンに１回だけ、\r\n確率スキルの発動率が１００％になる	Mysterious Rhythm\r\nOnce every 4 turns, skills occur\r\nat a 100% activation rate.
奥義『月食』（技％）\r\n相手のＨＰを１に	Eclipse (Skill%)\r\nIf the attack does not defeat the\r\nopponent, it reduces their HP to 1.
ディール	Deil
フレリア城	Castle Frelia
イムの村	Ide
馬を自在にあやつり移動力にすぐれる騎士\r\nもっとも攻撃・守備・速さのバランスがよい	Mounted knights with superior movement.\r\nWell balanced for speed, defense, & attack.
馬をたくみにあやつる　華麗なる騎士\r\n全ての能力においてソシアルナイトを上回る	A title earned only by those cavaliers whose\r\nlives have been dedicated to justice.
あついよろいで身をかためる重騎士\r\n守備力に優れるが　速さや移動力に劣る	Heavily armored knights. Superior defense\r\noutweighs their poor movement and speed.
重厚なよろいに身をつつむ　誇り高き重騎士\r\n攻撃力　守備力ともにすぐれている	Lordly knights in heavy armor. They possess\r\nexcellent defensive and offensive skills.
宝を求めて戦場をかけ回る者たち\r\n戦闘能力はひくいが　さまざまな特技をもつ	Rogues and fortune hunters. They possess\r\nweak attacks but many other skills.
傭兵・用心棒などを仕事とする戦闘のプロ\r\n全ての能力バランスに優れている	Professional soldiers-for-hire. They are well\r\nbalanced, with superior abilities all around.
活躍し　名声を得た傭兵に与えられる称号\r\n攻守ともに優れた　戦闘のエキスパート	The finest of all mercenary warriors.\r\nExpert in all fields of combat.
舞うがごとく剣をあつかう　剣の使い手たち\r\n技・速さに優れ　必殺の一撃を得意とする	Swordsmen who possess superior speed and\r\ntechnique. They specialize in killing strokes.
その道を極めた剣士に与えられる称号\r\n素早い動きと一撃必殺の技を持つ剣の達人	A title given to those dedicated to the\r\nsword. Incredible speed and killing strokes.
暗殺を生業とする者の名\r\n一瞬で標的に死をもたらす瞬殺の技を持つ	Masters of the killing arts. They have the\r\nability to kill a foe with a single stroke.
軽い防具を身にまとい弓を用いて戦う\r\n少し離れた位置の敵に攻撃ができる	Lightly protected warriors armed with bows.\r\nThey can attack from a distance.
弓を極めんとする者たち\r\n正確無比な弓のエキスパート	Archers dedicated to mastering their art.\r\nNone can match their skill with the bow.
馬術に優れ　臨機応変に戦う騎士\r\n機動力があり　剣と弓を使いこなす	Mounted knights who charge into battle with\r\nsword and bow. They possess great mobility.
飛竜をあやつり　空を制する騎士\r\n弓・魔法以外の攻撃に　圧倒的な強さを誇る	Knights who rule the skies from wyvern-back.\r\nThey are vulnerable to only bows and magic.
飛竜をわが身のごとくあやつる　空の騎士\r\n移動・攻撃・防御　全てにすぐれている	Knights united with their wyvern mounts.\r\nThey have better movement and combat skill.
『理（ことわり）』の魔道を使う者たち\r\n守備の高い敵に強いが武器による攻撃に弱い	Mages schooled in anima magic. They bypass\r\ndefenses but are weak against weapons.
修行をつんだ魔道士におくられる称号\r\n多くの魔法に加え　聖なる杖をもあやつる	A title given to advanced mages. They wield\r\nmagic and can carry staves.
『さとり』をひらいた僧侶が昇格する\r\n聖なる力で攻撃魔法をあつかうようになる	A title given to monks who have attained\r\nenlightenment. Wields magic for offense.
幾多もの戦場を乗り越えた槍の達人\r\n装備『槍』スキル『見切り』	Veteran soldiers who overcome\r\nany challenge. Equip: Lances.
